startTime,endTime,latency
1708422953184,1708422955281,2097
1708422955281,1708422955297,16
1708422955297,1708422955312,15
1708422955312,1708422955326,14
1708422955326,1708422955341,15
1708422955341,1708422955355,14
1708422955355,1708422955369,14
1708422955369,1708422955383,14
1708422955383,1708422955397,14
1708422955397,1708422955411,14
1708422955411,1708422955423,12
1708422955423,1708422955435,12
1708422955435,1708422955448,13
1708422955448,1708422955463,15
1708422955463,1708422955475,12
1708422955475,1708422955489,14
1708422955489,1708422955502,13
1708422955502,1708422955515,13
1708422955515,1708422955530,15
1708422955530,1708422955544,14
1708422955544,1708422955558,14
1708422955558,1708422955573,15
1708422955573,1708422955589,16
1708422955589,1708422955604,15
1708422955604,1708422955617,13
1708422955617,1708422955629,12
1708422955629,1708422955642,13
1708422955642,1708422955654,12
1708422955654,1708422955666,12
1708422955666,1708422955679,13
1708422955679,1708422955691,12
1708422955691,1708422955704,13
1708422955704,1708422955717,13
1708422955717,1708422955728,11
1708422955728,1708422955742,14
1708422955742,1708422955757,15
1708422955757,1708422955771,14
1708422955771,1708422955784,13
1708422955784,1708422955800,16
1708422955800,1708422955813,13
1708422955813,1708422955827,14
1708422955827,1708422955842,15
1708422955842,1708422955853,11
1708422955853,1708422955865,12
1708422955865,1708422955880,15
1708422955880,1708422955892,12
1708422955892,1708422955905,13
1708422955905,1708422955919,14
1708422955919,1708422955933,14
1708422955933,1708422955947,14
1708422955947,1708422955961,14
1708422955961,1708422955974,13
1708422955974,1708422955988,14
1708422955988,1708422956002,14
1708422956002,1708422956017,15
1708422956017,1708422956031,14
1708422956031,1708422956046,15
1708422956046,1708422956060,14
1708422956060,1708422956074,14
1708422956074,1708422956089,15
1708422956089,1708422956102,13
1708422956102,1708422956116,14
1708422956116,1708422956129,13
1708422956129,1708422956142,13
1708422956142,1708422956156,14
1708422956156,1708422956170,14
1708422956170,1708422956184,14
1708422956184,1708422956199,15
1708422956199,1708422956214,15
1708422956214,1708422956227,13
1708422956227,1708422956241,14
1708422956241,1708422956255,14
1708422956255,1708422956271,16
1708422956271,1708422956286,15
1708422956286,1708422956297,11
1708422956297,1708422956311,14
1708422956311,1708422956326,15
1708422956326,1708422956339,13
1708422956339,1708422956354,15
1708422956354,1708422956368,14
1708422956368,1708422956383,15
1708422956383,1708422956397,14
1708422956397,1708422956411,14
1708422956412,1708422956426,14
1708422956426,1708422956441,15
1708422956441,1708422956454,13
1708422956454,1708422956470,16
1708422956470,1708422956483,13
1708422956483,1708422956497,14
1708422956497,1708422956513,16
1708422956513,1708422956525,12
1708422956525,1708422956540,15
1708422956540,1708422956555,15
1708422956555,1708422956570,15
1708422956570,1708422956582,12
1708422956582,1708422956597,15
1708422956597,1708422956611,14
1708422956611,1708422956625,14
1708422956625,1708422956640,15
1708422956640,1708422956655,15
1708422956655,1708422956669,14
1708422956669,1708422956688,19
1708422956688,1708422956701,13
1708422956701,1708422956714,13
1708422956714,1708422956727,13
1708422956727,1708422956741,14
1708422956741,1708422956755,14
1708422956755,1708422956768,13
1708422956768,1708422956783,15
1708422956783,1708422956798,15
1708422956798,1708422956810,12
1708422956810,1708422956823,13
1708422956824,1708422956835,11
1708422956835,1708422956849,14
1708422956849,1708422956864,15
1708422956864,1708422956879,15
1708422956879,1708422956893,14
1708422956893,1708422956908,15
1708422956908,1708422956922,14
1708422956922,1708422956935,13
1708422956935,1708422956950,15
1708422956950,1708422956964,14
1708422956964,1708422956976,12
1708422956976,1708422956990,14
1708422956990,1708422957003,13
1708422957003,1708422957020,17
1708422957020,1708422957033,13
1708422957033,1708422957047,14
1708422957047,1708422957062,15
1708422957062,1708422957075,13
1708422957075,1708422957089,14
1708422957089,1708422957104,15
1708422957104,1708422957119,15
1708422957119,1708422957133,14
1708422957133,1708422957147,14
1708422957147,1708422957163,16
1708422957163,1708422957177,14
1708422957177,1708422957192,15
1708422957192,1708422957205,13
1708422957205,1708422957218,13
1708422957218,1708422957233,15
1708422957233,1708422957247,14
1708422957247,1708422957259,12
1708422957259,1708422957274,15
1708422957274,1708422957288,14
1708422957288,1708422957303,15
1708422957303,1708422957318,15
1708422957318,1708422957332,14
1708422957332,1708422957346,14
1708422957346,1708422957360,14
1708422957360,1708422957375,15
1708422957375,1708422957388,13
1708422957388,1708422957402,14
1708422957402,1708422957416,14
1708422957416,1708422957431,15
1708422957431,1708422957446,15
1708422957446,1708422957460,14
1708422957460,1708422957474,14
1708422957474,1708422957489,15
1708422957489,1708422957503,14
1708422957503,1708422957517,14
1708422957517,1708422957532,15
1708422957532,1708422957547,15
1708422957547,1708422957560,13
1708422957560,1708422957575,15
1708422957575,1708422957590,15
1708422957590,1708422957605,15
1708422957605,1708422957619,14
1708422957619,1708422957633,14
1708422957633,1708422957648,15
1708422957648,1708422957661,13
1708422957661,1708422957676,15
1708422957676,1708422957691,15
1708422957691,1708422957705,14
1708422957705,1708422957719,14
1708422957719,1708422957734,15
1708422957734,1708422957748,14
1708422957748,1708422957762,14
1708422957762,1708422957777,15
1708422957777,1708422957790,13
1708422957790,1708422957803,13
1708422957803,1708422957817,14
1708422957817,1708422957830,13
1708422957830,1708422957844,14
1708422957844,1708422957858,14
1708422957858,1708422957873,15
1708422957873,1708422957888,15
1708422957888,1708422957902,14
1708422957902,1708422957916,14
1708422957916,1708422957931,15
1708422957931,1708422957946,15
1708422957946,1708422957961,15
1708422957961,1708422957975,14
1708422957975,1708422957989,14
1708422957989,1708422958003,14
1708422958003,1708422958018,15
1708422958018,1708422958030,12
1708422958030,1708422958043,13
1708422958043,1708422958056,13
1708422958056,1708422958071,15
1708422958071,1708422958085,14
1708422958085,1708422958098,13
1708422958098,1708422958111,13
1708422958111,1708422958126,15
1708422958126,1708422958140,14
1708422958140,1708422958154,14
1708422958154,1708422958169,15
1708422958169,1708422958184,15
1708422958184,1708422958195,11
1708422958195,1708422958209,14
1708422958209,1708422958223,14
1708422958223,1708422958238,15
1708422958238,1708422958252,14
1708422958252,1708422958267,15
1708422958267,1708422958281,14
1708422958281,1708422958296,15
1708422958296,1708422958309,13
1708422958309,1708422958324,15
1708422958324,1708422958338,14
1708422958338,1708422958351,13
1708422958351,1708422958364,13
1708422958364,1708422958379,15
1708422958379,1708422958393,14
1708422958393,1708422958406,13
1708422958406,1708422958417,11
1708422958417,1708422958431,14
1708422958431,1708422958446,15
1708422958446,1708422958459,13
1708422958459,1708422958471,12
1708422958471,1708422958485,14
1708422958485,1708422958499,14
1708422958499,1708422958514,15
1708422958514,1708422958528,14
1708422958528,1708422958542,14
1708422958542,1708422958556,14
1708422958556,1708422958571,15
1708422958571,1708422958586,15
1708422958586,1708422958599,13
1708422958599,1708422958613,14
1708422958613,1708422958627,14
1708422958627,1708422958642,15
1708422958642,1708422958656,14
1708422958656,1708422958671,15
1708422958671,1708422958684,13
1708422958684,1708422958699,15
1708422958699,1708422958713,14
1708422958713,1708422958728,15
1708422958728,1708422958743,15
1708422958743,1708422958758,15
1708422958758,1708422958771,13
1708422958771,1708422958785,14
1708422958785,1708422958801,16
1708422958801,1708422958816,15
1708422958816,1708422958831,15
1708422958831,1708422958846,15
1708422958846,1708422958860,14
1708422958860,1708422958874,14
1708422958874,1708422958889,15
1708422958889,1708422958903,14
1708422958903,1708422958917,14
1708422958917,1708422958930,13
1708422958930,1708422958944,14
1708422958944,1708422958956,12
1708422958956,1708422958968,12
1708422958968,1708422958982,14
1708422958982,1708422958996,14
1708422958996,1708422959011,15
1708422959011,1708422959025,14
1708422959025,1708422959037,12
1708422959037,1708422959051,14
1708422959051,1708422959066,15
1708422959066,1708422959080,14
1708422959080,1708422959095,15
1708422959095,1708422959109,14
1708422959109,1708422959123,14
1708422959123,1708422959139,16
1708422959139,1708422959153,14
1708422959153,1708422959167,14
1708422959167,1708422959181,14
1708422959181,1708422959194,13
1708422959194,1708422959209,15
1708422959209,1708422959224,15
1708422959224,1708422959237,13
1708422959237,1708422959252,15
1708422959252,1708422959266,14
1708422959266,1708422959280,14
1708422959280,1708422959295,15
1708422959295,1708422959310,15
1708422959310,1708422959323,13
1708422959323,1708422959339,16
1708422959339,1708422959352,13
1708422959352,1708422959363,11
1708422959363,1708422959378,15
1708422959378,1708422959393,15
1708422959393,1708422959406,13
1708422959406,1708422959420,14
1708422959420,1708422959434,14
1708422959434,1708422959450,16
1708422959450,1708422959464,14
1708422959464,1708422959479,15
